id,store_id,timestamp,flavour_id,price_in_pence
102,S007,2024-06-01 14:00:31,2,373
103,S016,2024-06-01 12:47:01,11,501
104,S008,2024-06-01 12:26:35,5,547
105,S011,2024-06-01 11:56:16,6,482
106,S011,2024-06-01 15:44:44,2,524
107,S016,2024-06-01 13:24:06,5,518
108,S012,2024-06-01 09:40:34,3,404
109,S002,2024-06-01 13:53:08,9,399
110,S004,2024-06-01 12:00:30,1,543
111,S002,2024-06-01 10:54:04,5,494
112,S002,2024-06-01 14:32:19,3,326
113,S014,2024-06-01 14:19:24,10,365
114,S014,2024-06-01 13:31:39,5,541
115,S007,2024-06-01 11:54:05,11,358
116,S003,2024-06-01 12:36:44,3,251
117,S008,2024-06-01 13:55:29,5,394
118,S009,2024-06-01 12:41:34,11,351
119,S009,2024-06-01 10:22:50,3,286
120,S010,2024-06-01 12:52:19,8,313
121,S016,2024-06-01 13:24:56,8,291
122,S009,2024-06-01 11:42:43,1,296
123,S001,2024-06-01 13:19:48,11,387
124,S015,2024-06-01 16:41:27,5,342
125,S003,2024-06-01 12:36:20,8,428
126,S011,2024-06-01 12:02:25,7,503
127,S015,2024-06-01 11:50:07,2,411
128,S001,2024-06-01 12:50:03,11,527
129,S016,2024-06-01 14:13:13,11,476
130,S010,2024-06-01 10:58:40,8,498
131,S006,2024-06-01 09:39:26,5,532
132,S004,2024-06-01 13:38:09,8,310
133,S009,2024-06-01 16:12:15,7,497
134,S007,2024-06-01 14:09:08,10,510
135,S014,2024-06-01 11:55:00,6,509
136,S016,2024-06-02 13:09:22,3,478
137,S013,2024-06-02 14:57:44,8,414
138,S014,2024-06-02 14:08:45,1,412
139,S005,2024-06-02 11:00:37,8,268
140,S015,2024-06-02 15:18:00,2,519
141,S005,2024-06-02 14:21:16,2,490
142,S003,2024-06-02 12:29:20,6,523
143,S016,2024-06-02 13:30:15,9,268
144,S008,2024-06-02 12:43:06,12,296
145,S004,02/06/2024 13:52:57,8,335
146,S011,2024-06-02 12:23:27,1,400
147,S006,2024-06-02 10:35:55,3,339
148,S016,2024-06-02 11:43:40,10,323
149,S001,2024-06-02 13:47:10,8,397
150,S010,2024-06-02 13:51:29,11,467
151,S013,2024-06-02 11:45:36,8,304
152,S010,2024-06-02 11:57:36,1,452
153,S002,2024-06-02 14:41:57,10,504
154,S012,2024-06-02 13:31:43,4,347
155,S005,02/06/2024 15:14:41,11,299
156,S015,2024-06-02 12:25:08,1,546
157,S014,2024-06-02 11:03:34,3,352
158,S009,2024-06-02 15:20:30,3,381
159,S011,2024-06-02 15:54:09,2,489
160,S013,02/06/2024 10:41:25,9,437
161,S004,2024-06-02 13:45:43,8,438
162,S012,2024-06-02 12:53:39,2,369
163,S008,2024-06-02 13:35:29,11,282
164,S014,2024-06-02 10:12:02,2,321
165,S004,2024-06-02 11:05:29,4,525
166,S014,2024-06-02 15:05:41,10,329
167,S014,2024-06-02 13:51:13,5,266
168,S012,2024-06-02 13:10:41,2,438
169,S007,2024-06-02 10:42:13,2,482
170,S001,2024-06-02 11:47:08,1,420
171,S007,2024-06-02 14:33:14,10,360
172,S001,2024-06-02 16:22:34,5,324
173,S001,2024-06-02 12:23:50,3,257
174,S006,2024-06-02 11:00:26,5,276
175,S016,2024-06-02 13:03:06,8,435
176,S002,2024-06-02 12:06:41,12,516
177,S016,2024-06-02 13:49:31,7,468
178,S003,2024-06-02 10:26:17,6,325
179,S011,2024-06-02 12:04:32,7,521
180,S004,2024-06-02 14:00:13,11,532
181,S014,2024-06-02 12:34:46,6,482
182,S009,2024-06-02 13:50:30,6,328
183,S003,2024-06-02 14:08:23,7,299
184,S011,2024-06-02 12:37:55,11,312
185,S002,2024-06-02 12:21:36,5,409
186,S016,2024-06-02 12:20:35,4,305
187,S008,2024-06-02 16:05:52,7,537
188,S001,2024-06-02 09:57:17,10,386
189,S011,2024-06-02 11:24:09,6,253
190,S005,2024-06-02 10:42:33,12,265
191,S011,2024-06-02 12:09:20,3,439
192,S003,02/06/2024 11:14:39,1,329
193,S003,2024-06-02 13:42:31,5,476
194,S007,2024-06-02 12:19:07,9,308
195,S016,2024-06-02 10:12:25,9,407
196,S007,2024-06-02 14:16:48,5,358
197,S001,2024-06-02 11:22:24,8,470
198,S012,2024-06-02 14:53:02,2,453
199,S003,2024-06-02 12:42:25,6,544
200,S004,2024-06-02 15:57:10,7,260
201,S012,2024-06-02 14:46:15,2,473
202,S003,2024-06-02 14:08:14,7,408
203,S004,2024-06-02 11:29:49,9,511
204,S005,2024-06-02 11:09:12,4,302
205,S003,2024-06-02 12:51:36,3,502
206,S011,2024-06-02 11:11:04,11,411
207,S009,2024-06-02 12:21:04,10,278
208,S002,2024-06-02 10:34:55,6,396
209,S013,2024-06-02 13:13:50,8,547
210,S007,2024-06-02 13:00:03,6,493
211,S011,02/06/2024 13:01:11,12,293
212,S015,2024-06-02 13:05:10,8,518
213,S013,2024-06-02 13:47:03,7,423
214,S003,2024-06-02 13:14:24,6,298
215,S005,2024-06-02 13:20:09,6,291
216,S013,2024-06-02 12:08:24,3,293
217,S005,2024-06-02 10:43:42,11,519
218,S012,2024-06-02 15:44:21,5,342
219,S008,2024-06-02 10:34:54,3,329
220,S002,2024-06-02 15:00:39,11,422
221,S006,2024-06-02 14:00:02,3,334
222,S008,2024-06-02 14:11:50,8,395
223,S010,2024-06-02 12:25:36,8,349
224,S010,2024-06-02 13:06:10,7,507
225,S005,2024-06-02 13:36:55,5,276
226,S004,2024-06-02 14:14:17,5,292
227,S014,2024-06-02 14:34:56,2,-363
228,S002,2024-06-02 12:27:24,7,507
229,S001,2024-06-02 14:43:41,6,300
230,S002,2024-06-02 13:52:08,5,491
231,S001,2024-06-02 11:51:53,2,259
232,S014,02/06/2024 11:45:07,2,397
233,S014,2024-06-02 10:25:53,11,484
234,S001,2024-06-02 13:18:45,11,513
235,S012,2024-06-02 12:39:42,4,542
236,S012,2024-06-02 13:10:50,2,519
237,S013,2024-06-02 13:35:23,8,-272
238,S003,2024-06-02 14:04:40,6,373
239,S011,2024-06-02 12:21:21,3,272
240,S015,2024-06-02 13:34:51,12,495
241,S015,2024-06-02 11:32:50,1,400
242,S010,2024-06-02 16:24:34,9,453
243,S007,2024-06-02 14:53:03,5,432
244,S004,2024-06-02 15:07:47,6,473
245,S011,2024-06-02 13:51:23,3,504
246,S003,2024-06-02 10:35:38,12,467
247,S010,2024-06-02 10:36:42,6,302
248,S014,2024-06-02 12:21:02,3,477
249,S014,2024-06-02 10:32:40,5,279
250,S006,2024-06-02 14:47:43,1,323
251,S003,02/06/2024 12:24:36,4,437
252,S005,2024-06-02 15:43:23,11,480
253,S005,2024-06-02 12:34:41,9,437
254,S001,2024-06-02 12:59:24,12,345
255,S009,2024-06-02 11:37:39,12,478
256,S016,2024-06-02 11:05:04,4,312
257,S015,2024-06-02 13:44:45,2,413
258,S010,2024-06-02 14:25:32,3,339
259,S005,2024-06-02 09:55:35,4,502
260,S005,2024-06-02 10:27:25,10,294
261,S014,2024-06-02 10:32:20,7,544
262,S012,2024-06-02 13:36:11,3,532
263,S002,2024-06-02 11:12:10,2,515
264,S008,2024-06-02 15:09:54,6,515
265,S009,2024-06-02 13:29:05,3,405
266,S005,02/06/2024 14:45:36,3,422
267,S001,2024-06-02 15:43:49,2,273
268,S014,2024-06-02 12:59:40,10,265
269,S010,2024-06-02 14:30:43,8,375
270,S006,2024-06-03 12:56:13,8,462
271,S011,2024-06-03 16:06:08,12,426
272,S004,2024-06-03 12:51:17,6,373
273,S002,2024-06-03 14:54:26,5,446
274,S006,2024-06-03 14:00:12,6,545
275,S015,2024-06-03 12:59:05,8,407
276,S008,2024-06-03 12:21:03,4,548
277,S016,2024-06-03 09:30:06,5,524
278,S012,2024-06-03 10:12:03,7,437
279,S010,2024-06-03 13:01:48,2,447
280,S004,2024-06-03 12:33:50,3,299
281,S012,2024-06-03 13:25:25,3,351
282,S005,2024-06-03 14:29:33,12,420
283,S005,2024-06-03 11:16:39,6,413
284,S011,2024-06-03 13:07:45,9,510
285,S001,2024-06-03 13:46:26,6,419
286,S001,2024-06-03 11:54:41,10,492
287,S008,2024-06-03 13:20:10,12,276
288,S013,2024-06-03 10:00:44,3,-374
289,S011,2024-06-03 12:38:13,7,327
290,S016,2024-06-03 13:55:33,12,281
291,S016,2024-06-03 12:10:11,9,442
292,S012,2024-06-03 13:28:12,11,385
293,S010,2024-06-03 14:17:45,4,402
294,S011,2024-06-03 13:14:59,8,428
295,S004,2024-06-03 12:29:25,10,528
296,S005,2024-06-03 12:02:45,5,271
297,S009,2024-06-03 11:37:52,12,495
298,S009,2024-06-03 13:29:37,3,305
299,S008,2024-06-03 10:17:26,11,369
300,S005,2024-06-03 16:09:10,1,531
301,S016,2024-06-03 14:12:18,8,352
302,S003,2024-06-03 11:43:47,11,543
303,S006,2024-06-03 15:32:02,7,340
304,S016,2024-06-03 15:00:00,3,398
305,S011,2024-06-03 16:24:34,5,482
306,S005,2024-06-03 11:57:51,9,489
307,S015,2024-06-03 13:59:00,11,381
308,S007,2024-06-03 14:38:32,3,457
309,S004,2024-06-03 12:54:59,3,321
310,S008,2024-06-03 15:47:19,8,386
311,S009,2024-06-03 13:51:03,11,434
312,S006,2024-06-03 15:25:56,7,507
313,S004,2024-06-03 12:25:14,11,401
314,S005,2024-06-03 12:38:35,8,441
315,S007,2024-06-03 13:06:33,4,291
316,S004,2024-06-03 15:14:12,1,530
317,S011,2024-06-03 10:55:13,9,476
318,S015,2024-06-03 11:03:26,1,482
319,S015,2024-06-03 14:01:25,11,-407
320,S007,2024-06-03 10:12:22,10,287
321,S002,2024-06-03 10:00:26,2,491
322,S014,2024-06-03 12:47:58,6,445
323,S005,2024-06-03 10:56:34,11,428
324,S008,2024-06-03 16:10:29,1,261
325,S013,2024-06-03 12:50:09,4,376
326,S004,2024-06-03 13:29:59,1,-464
327,S007,2024-06-03 13:23:28,2,301
328,S002,2024-06-03 12:35:14,4,272
329,S002,2024-06-03 16:32:14,3,507
330,S011,2024-06-03 11:45:56,10,414
331,S008,2024-06-03 11:58:35,7,403
332,S006,2024-06-03 13:13:03,11,468
333,S013,2024-06-03 13:52:26,9,413
334,S016,2024-06-03 12:06:45,4,365
335,S002,2024-06-03 15:59:35,9,461
336,S009,2024-06-03 13:38:59,4,419
337,S007,2024-06-03 12:28:38,1,387
338,S007,2024-06-03 11:38:13,10,536
339,S001,2024-06-03 15:53:07,4,347
340,S008,2024-06-03 12:33:15,12,354
341,S013,2024-06-03 13:38:19,8,523
342,S016,2024-06-03 14:29:46,8,300
343,S007,2024-06-03 12:38:36,6,410
344,S001,2024-06-03 15:33:37,5,533
345,S007,2024-06-03 12:29:53,6,367
346,S011,2024-06-03 15:57:41,5,500
347,S012,2024-06-03 14:00:31,3,321
348,S002,2024-06-03 14:43:04,9,267
349,S001,2024-06-03 14:45:14,7,320
350,S007,2024-06-03 12:27:39,9,483
351,S016,2024-06-03 09:42:34,11,-499
352,S009,2024-06-03 09:44:52,9,396
353,S006,2024-06-03 13:05:15,2,299
354,S012,2024-06-03 10:35:25,5,453
355,S008,2024-06-03 13:40:54,5,291
356,S013,2024-06-03 13:13:03,7,443
357,S003,2024-06-03 13:37:21,8,472
358,S004,2024-06-03 11:42:57,9,271
359,S016,2024-06-03 15:26:43,5,273
360,S002,2024-06-03 09:42:13,3,411
361,S013,2024-06-03 11:16:15,2,403
362,S011,2024-06-03 14:24:44,7,321
363,S012,2024-06-03 12:44:53,1,300
364,S013,2024-06-03 13:34:50,6,265
365,S012,2024-06-03 12:43:43,9,442
366,S010,2024-06-03 10:37:09,4,287
367,S005,2024-06-03 12:11:06,12,449
368,S015,2024-06-03 10:48:05,6,388
369,S014,2024-06-03 10:41:35,2,263
370,S011,2024-06-03 12:03:24,7,256
371,S008,2024-06-03 11:19:24,10,516
372,S009,2024-06-03 10:25:27,8,324
373,S003,2024-06-03 15:39:46,6,378
374,S007,2024-06-03 11:04:00,8,304
375,S013,2024-06-03 12:16:52,6,475
376,S005,2024-06-03 13:26:44,5,414
377,S013,2024-06-03 14:05:40,6,399
378,S008,2024-06-03 11:59:50,6,442
379,S007,2024-06-03 11:23:49,10,529
380,S015,2024-06-03 12:44:18,12,357
381,S014,2024-06-03 11:06:19,11,505
382,S014,2024-06-03 12:47:38,7,287
383,S014,2024-06-03 14:24:23,9,268
384,S003,2024-06-03 13:41:22,2,377
385,S013,2024-06-03 10:50:06,6,470
386,S008,2024-06-03 12:32:49,8,441
387,S005,2024-06-03 12:55:18,6,262
388,S004,2024-06-03 12:20:21,12,322
389,S016,2024-06-03 10:46:46,6,493
390,S010,2024-06-03 09:51:21,1,308
391,S006,2024-06-03 13:03:35,12,374
392,S015,2024-06-03 13:33:11,4,457
393,S001,2024-06-03 12:47:27,12,351
394,S007,2024-06-03 13:19:51,5,282
395,S007,2024-06-04 11:53:55,8,308
396,S011,2024-06-04 13:28:37,10,448
397,S015,2024-06-04 14:33:45,10,338
398,S003,2024-06-04 12:09:15,11,318
399,S005,2024-06-04 12:39:08,9,448
400,S016,2024-06-04 13:52:41,11,525
401,S006,2024-06-04 11:07:20,8,397
402,S012,2024-06-04 11:05:52,1,498
403,S016,2024-06-04 12:38:53,7,501
404,S001,2024-06-04 10:01:14,4,399
405,S015,2024-06-04 13:12:07,10,503
406,S012,2024-06-04 14:13:28,9,271
407,S004,2024-06-04 12:05:02,12,376
408,S003,2024-06-04 14:19:15,8,310
409,S012,2024-06-04 11:18:08,12,469
410,S002,2024-06-04 13:07:38,10,429
411,S010,2024-06-04 11:55:54,5,543
412,S004,2024-06-04 15:23:17,3,460
413,S005,2024-06-04 13:57:53,4,324
414,S013,2024-06-04 13:19:17,8,322
415,S003,2024-06-04 12:35:47,11,297
416,S012,2024-06-04 12:14:00,8,499
417,S003,2024-06-04 13:34:44,12,484
418,S013,2024-06-04 14:37:31,4,469
419,S011,2024-06-04 11:02:54,9,545
420,S002,2024-06-04 13:32:53,1,300
421,S006,2024-06-04 09:08:27,8,483
422,S005,2024-06-04 11:15:59,11,404
423,S012,2024-06-04 12:26:57,5,292
424,S010,2024-06-04 12:42:05,12,-369
425,S016,2024-06-04 13:23:33,2,-317
426,S011,2024-06-04 13:52:30,2,466
427,S004,2024-06-04 12:25:19,2,410
428,S005,04/06/2024 10:28:36,11,323
429,S006,2024-06-04 14:01:40,8,429
430,S015,2024-06-04 15:10:08,4,294
431,S013,2024-06-04 12:10:08,6,469
432,S008,04/06/2024 14:20:44,9,395
433,S010,2024-06-04 13:27:12,4,515
434,S002,2024-06-04 12:30:15,4,503
435,S001,2024-06-04 11:03:55,6,412
436,S006,04/06/2024 09:43:04,8,287
437,S007,2024-06-04 15:43:25,1,280
438,S014,2024-06-04 10:37:34,7,455
439,S003,2024-06-04 13:02:13,5,290
440,S011,2024-06-04 13:34:53,7,550
441,S010,2024-06-04 14:03:54,12,473
442,S014,2024-06-04 13:28:03,2,482
443,S006,04/06/2024 13:56:44,2,256
444,S016,2024-06-04 13:04:52,6,517
445,S005,2024-06-04 14:04:07,12,-387
446,S014,2024-06-04 10:25:45,5,518
447,S016,2024-06-04 12:23:31,8,511
448,S006,2024-06-04 15:09:43,5,302
449,S001,2024-06-04 11:47:30,1,256
450,S006,2024-06-04 14:29:45,1,533
451,S011,2024-06-04 15:21:20,4,463
452,S012,2024-06-04 13:46:03,2,507
453,S002,2024-06-04 15:00:55,7,285
454,S011,2024-06-04 12:49:23,2,533
455,S010,2024-06-04 12:51:37,12,374
456,S007,2024-06-04 14:13:15,12,529
457,S001,2024-06-04 12:19:53,4,-527
458,S011,2024-06-04 14:48:46,1,442
459,S008,2024-06-04 15:53:09,7,501
460,S008,2024-06-04 13:54:23,9,461
461,S004,2024-06-04 13:35:25,9,318
462,S014,2024-06-04 11:45:16,11,316
463,S013,2024-06-04 12:11:17,12,417
464,S005,2024-06-04 11:13:10,10,305
465,S004,2024-06-04 15:56:13,9,433
466,S004,2024-06-04 14:31:19,2,330
467,S002,2024-06-04 11:10:45,4,417
468,S002,04/06/2024 11:53:11,11,403
469,S013,2024-06-04 14:09:15,8,534
470,S005,2024-06-04 10:24:49,2,256
471,S013,2024-06-04 13:20:16,6,293
472,S003,2024-06-04 14:31:05,4,477
473,S011,2024-06-04 15:38:03,2,271
474,S013,2024-06-04 12:29:27,8,265
475,S006,04/06/2024 12:46:09,5,393
476,S008,2024-06-04 12:59:56,11,401
477,S009,2024-06-04 12:39:41,7,320
478,S001,2024-06-04 12:55:50,7,433
479,S011,2024-06-04 11:23:20,7,-388
480,S009,2024-06-04 13:07:49,1,491
481,S006,2024-06-04 13:41:17,2,376
482,S002,2024-06-04 14:47:51,4,544
483,S006,2024-06-04 13:23:51,3,371
484,S001,2024-06-04 15:42:36,12,430
485,S016,2024-06-04 11:22:02,9,408
486,S008,2024-06-04 12:54:21,1,519
487,S005,2024-06-04 15:23:54,6,340
488,S005,2024-06-04 14:18:54,10,322
489,S003,2024-06-04 13:21:21,6,452
490,S006,2024-06-04 14:25:31,12,473
491,S012,2024-06-04 12:28:46,4,339
492,S001,2024-06-04 12:32:49,12,543
493,S011,2024-06-04 13:36:06,10,363
494,S003,2024-06-04 16:14:10,4,427
495,S011,2024-06-04 11:54:15,8,255
496,S004,2024-06-04 10:14:28,12,250
497,S014,2024-06-04 12:21:24,8,443
498,S008,04/06/2024 10:32:54,3,481
499,S001,2024-06-04 15:45:04,6,383
500,S006,2024-06-04 13:11:57,12,288
501,S016,2024-06-04 12:42:41,12,265
502,S006,2024-06-04 12:15:12,1,301
503,S009,04/06/2024 12:05:06,11,394
504,S016,2024-06-04 12:23:27,3,277
505,S016,2024-06-04 09:54:10,4,299
506,S016,2024-06-04 14:22:30,2,407
507,S003,2024-06-04 12:31:23,11,528
508,S015,2024-06-04 12:45:16,1,384
509,S002,2024-06-04 10:39:22,3,299
510,S008,2024-06-04 14:44:52,9,281
511,S016,2024-06-04 12:54:05,10,370
512,S002,2024-06-04 15:12:51,9,542
513,S005,2024-06-04 11:21:10,2,479
514,S005,2024-06-04 10:35:43,1,466
515,S005,2024-06-04 12:11:46,10,382
516,S013,2024-06-04 13:12:54,9,453
517,S001,2024-06-04 13:05:26,12,550
518,S004,2024-06-04 14:20:50,2,538
519,S012,2024-06-04 12:30:31,7,385
520,S006,2024-06-04 11:08:38,5,456
521,S013,2024-06-04 10:15:30,6,371
522,S001,2024-06-04 12:09:53,6,405
523,S004,2024-06-04 12:06:47,4,318
524,S009,2024-06-04 13:26:05,12,463
525,S016,2024-06-05 14:36:32,9,441
526,S013,2024-06-05 15:02:01,3,518
527,S007,2024-06-05 10:01:03,1,377
528,S009,2024-06-05 13:01:40,6,487
529,S008,2024-06-05 13:23:11,6,500
530,S012,2024-06-05 14:43:16,6,333
531,S010,2024-06-05 10:15:54,1,447
532,S008,2024-06-05 13:47:17,11,365
533,S001,2024-06-05 13:38:38,8,317
534,S010,2024-06-05 12:40:24,12,390
535,S007,2024-06-05 13:47:52,8,404
536,S001,2024-06-05 13:15:38,9,441
537,S004,2024-06-05 12:16:17,8,282
538,S009,2024-06-05 11:27:33,11,402
539,S013,05/06/2024 13:48:46,11,413
540,S016,2024-06-05 15:16:25,5,382
541,S007,2024-06-05 13:49:40,6,363
542,S012,2024-06-05 14:46:53,9,403
543,S010,2024-06-05 11:01:16,2,491
544,S006,2024-06-05 13:40:14,11,421
545,S010,2024-06-05 12:26:37,7,419
546,S016,2024-06-05 13:20:39,1,548
547,S004,2024-06-05 13:07:26,11,445
548,S005,2024-06-05 12:37:36,4,425
549,S005,2024-06-05 14:20:31,6,342
550,S011,2024-06-05 09:23:17,11,279
551,S006,2024-06-05 11:02:27,8,295
552,S016,2024-06-05 10:05:12,7,252
553,S011,2024-06-05 09:45:00,9,347
554,S012,2024-06-05 10:48:32,5,316
555,S002,2024-06-05 12:49:33,5,398
556,S005,2024-06-05 12:23:12,6,500
557,S013,2024-06-05 11:40:08,1,-366
558,S006,05/06/2024 13:57:50,2,437
559,S009,2024-06-05 13:23:03,9,274
560,S001,2024-06-05 12:39:24,1,309
561,S005,2024-06-05 12:06:42,4,254
562,S005,2024-06-05 13:02:39,7,303
563,S004,2024-06-05 13:27:49,8,351
564,S007,2024-06-05 12:04:02,6,459
565,S016,2024-06-05 09:17:42,6,370
566,S016,2024-06-05 14:20:04,3,296
567,S009,2024-06-05 12:49:18,11,368
568,S006,2024-06-05 12:23:43,1,398
569,S004,2024-06-05 14:49:42,1,254
570,S015,2024-06-05 15:01:05,10,387
571,S004,2024-06-05 15:54:17,7,454
572,S016,2024-06-05 10:54:44,7,335
573,S006,2024-06-05 15:18:30,2,463
574,S006,05/06/2024 14:20:39,10,444
575,S005,2024-06-05 10:54:26,8,499
576,S011,2024-06-05 14:16:36,1,518
577,S011,2024-06-05 13:50:39,9,517
578,S008,2024-06-05 13:43:41,8,427
579,S002,2024-06-05 13:01:30,1,330
580,S003,2024-06-05 11:46:17,8,414
581,S013,2024-06-05 10:35:28,7,370
582,S016,2024-06-05 10:56:31,8,-411
583,S013,2024-06-05 13:14:00,7,268
584,S010,2024-06-05 11:34:42,9,537
585,S002,2024-06-05 12:15:49,4,482
586,S012,2024-06-05 10:54:48,12,-481
587,S012,2024-06-05 13:11:23,11,399
588,S006,2024-06-05 14:36:47,8,321
589,S007,2024-06-05 15:30:25,4,311
590,S007,05/06/2024 10:51:26,12,423
591,S004,2024-06-05 13:41:32,8,484
592,S002,2024-06-05 14:43:30,9,471
593,S006,2024-06-05 11:21:52,12,546
594,S011,2024-06-05 12:39:38,9,446
595,S009,2024-06-05 16:01:28,7,425
596,S010,2024-06-05 14:53:45,12,530
597,S007,2024-06-05 13:31:18,4,357
598,S005,2024-06-05 13:00:44,12,341
599,S012,2024-06-05 13:20:42,9,495
600,S010,2024-06-05 13:05:01,7,256
601,S002,2024-06-05 14:10:10,4,386
602,S005,05/06/2024 11:33:34,1,401
603,S015,2024-06-05 14:55:47,2,537
604,S010,2024-06-05 15:27:24,12,274
605,S011,2024-06-05 09:38:16,9,277
606,S015,2024-06-05 14:12:34,4,438
607,S007,2024-06-05 11:22:43,5,479
608,S004,2024-06-05 12:42:35,7,270
609,S009,2024-06-05 12:51:59,1,419
610,S011,2024-06-05 14:18:40,10,276
611,S016,2024-06-05 12:23:50,10,531
612,S006,2024-06-05 14:23:10,9,284
613,S003,2024-06-05 15:04:42,6,363
614,S007,2024-06-05 12:53:35,10,521
615,S001,2024-06-05 12:46:57,2,427
616,S008,2024-06-05 12:29:50,1,414
617,S010,2024-06-05 14:36:23,1,514
618,S016,2024-06-05 15:11:12,1,401
619,S004,2024-06-05 13:08:40,3,525
620,S007,2024-06-05 14:42:13,11,467
621,S014,05/06/2024 14:09:09,11,286
622,S011,2024-06-05 10:31:11,1,294
623,S008,2024-06-05 12:31:40,5,458
624,S013,2024-06-05 13:08:41,11,310
625,S002,2024-06-05 12:22:32,12,287
626,S010,2024-06-05 12:00:59,10,294
627,S001,2024-06-05 13:08:08,8,330
628,S010,2024-06-05 12:05:56,11,323
629,S012,2024-06-05 14:59:09,1,-533
630,S013,2024-06-05 15:41:19,9,530
631,S012,2024-06-05 15:15:54,4,461
632,S008,2024-06-05 11:29:11,10,379
633,S002,2024-06-05 13:37:04,9,486
