date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20240620,2024-06-20,20,6,June,2,2024,Thursday,False
20240621,2024-06-21,21,6,June,2,2024,Friday,False
20240622,2024-06-22,22,6,June,2,2024,Saturday,True
20240623,2024-06-23,23,6,June,2,2024,Sunday,True
20240624,2024-06-24,24,6,June,2,2024,Monday,False
20240625,2024-06-25,25,6,June,2,2024,Tuesday,False
20240626,2024-06-26,26,6,June,2,2024,Wednesday,False
20240627,2024-06-27,27,6,June,2,2024,Thursday,False
20240628,2024-06-28,28,6,June,2,2024,Friday,False
20240629,2024-06-29,29,6,June,2,2024,Saturday,True
20240630,2024-06-30,30,6,June,2,2024,Sunday,True
20240701,2024-07-01,1,7,July,3,2024,Monday,False
20240702,2024-07-02,2,7,July,3,2024,Tuesday,False
20240703,2024-07-03,3,7,July,3,2024,Wednesday,False
20240704,2024-07-04,4,7,July,3,2024,Thursday,False
20240705,2024-07-05,5,7,July,3,2024,Friday,False
20240706,2024-07-06,6,7,July,3,2024,Saturday,True
